,times
0,7.10926055340578
1,7.153689964561769
2,7.27747543380526
3,7.283473372138872
4,7.365117857708977
5,7.494549297058911
6,7.6954262298980955
7,7.710181603230161
8,7.768994749406824
9,7.778759898131828
10,7.812412825685659
11,7.846946352903334
12,7.857168488375015
13,7.906830255372456
14,8.02590641519151
15,8.029497019802971
16,8.077474694162065
17,8.205551090351586
18,8.23717593549594
19,8.246923448385525
20,8.279065053320704
21,8.320283274736427
22,8.37642037323845
23,8.553091897515497
24,8.56685456258602
25,8.56727185954501
26,8.573950585193964
27,8.580215268186679
28,8.637164811511827
29,8.656068076233325
30,8.663637727789745
31,8.673317014291847
32,8.715914370330655
33,8.733249609326553
34,8.801139893305518
35,8.804118880819708
36,8.824566170112
37,8.933780479302545
38,8.943680226990042
39,8.987249970189898
40,8.997626479573626
41,9.007579061144082
42,9.043129504428997
43,9.08444811504844
44,9.107998057190281
45,9.125472303970987
46,9.202222743776804
47,9.23747282420258
48,9.237914106126619
49,9.313612964551304
50,9.441746332196173
51,9.584427773832967
52,9.71871662958481
53,9.730665159983761
54,9.920674536458534
55,10.010699574789324
56,10.040858632486271
57,10.070620669670225
58,10.088608129154306
59,10.137975287387654
60,10.179906715059294
61,10.190890260406952
62,10.329281254842934
63,10.37043272841129
64,10.385476101390566
65,10.417566882265765
66,10.502583524514137
67,10.722791349149531
68,10.893299488492634
69,10.958824847603879
70,11.063696025555656
71,11.103324650767096
72,11.153433421569833
73,11.166382038403412
74,11.207911756268796
75,11.240196436189308
76,11.276751579997992
77,11.466528861590252
78,11.574880537348605
79,11.576489152378159
80,11.636160011136667
81,11.781465179647245
82,11.92027116209782
83,11.955640074135312
84,12.03560335012424
85,12.074108742755378
86,12.155993524875349
87,12.17345216927838
88,12.281015280365708
89,12.286134370382904
90,12.362038839570413
91,12.367765396586751
92,12.389551270422118
93,12.412526578991383
94,12.440155140697339
95,12.448802127836801
96,12.651181530791444
97,12.773793984270394
98,12.896474953536442
99,13.05434025495586
100,13.154835703357907
101,13.194657054514781
102,13.435774641945667
103,13.44579656548465
104,13.449556945731645
105,13.66970017811768
106,13.685671644792478
107,13.787750745215686
108,13.953297475222353
109,13.9775088420527
110,14.066924114401607
111,14.54211378654028
112,14.54760766325293
113,14.601995180696045
114,14.663563931906321
115,14.685083620663125
116,14.711515349411233
117,14.723358945252023
118,14.791161659492815
119,14.884755448710699
120,14.889701716998013
121,14.896064202050892
122,14.964852618410106
123,15.014739850254852
124,15.015454029692647
125,15.082777393385365
126,15.247658859228604
127,15.261501792065134
128,15.288504996404923
129,15.334623704993238
130,15.377239473514305
131,15.422962242694922
132,15.48296051588912
133,15.50005188949393
134,15.72069600428964
135,15.914642705037986
136,15.943158180387513
137,15.980252491223586
138,16.06803407703071
139,16.080515388693534
140,16.117254498262454
141,16.30504187964742
142,16.464345109707693
143,16.578512159574565
144,16.820114513525382
145,17.03452557771793
146,17.477825043092803
147,17.695038175505772
148,17.751827364504592
149,17.950894013082788
150,18.01032949862897
151,18.016747836890865
152,18.1792605696985
153,18.31858629372924
154,18.41680042503946
155,18.536877665843527
156,18.646564125482954
157,18.763328529242802
158,18.924259235539125
159,18.949014783370565
160,18.96290022999797
161,19.091606514739304
162,19.33172597050023
163,19.354261188390634
164,19.477931125284186
165,19.550664917961097
166,19.861495696008582
167,19.940309884458035
168,20.18847551268972
169,20.478091720763597
170,20.512885007006762
171,20.522821063066758
172,20.551108285632203
173,20.663507367648034
174,20.726787353182463
175,20.873559728257597
176,20.881878580895446
177,21.036583331265177
178,21.09452304080998
179,21.177269684696956
180,21.39699954704813
181,21.39870812295647
182,21.682596354180685
183,21.778611328595645
184,21.782376428244792
185,21.862981265316108
186,22.011751382682895
187,22.39012511734856
188,22.591509020931937
189,22.63811750588056
190,22.77913607788618
191,22.927353881676904
192,22.942655383871823
193,22.961926074993677
194,23.199567289353894
195,23.205347804797796
196,23.230813506408587
197,23.385790189794
198,23.46535797681038
199,23.52471745117025
200,23.7429452264408
201,23.74591530902687
202,23.81410046889769
203,23.88867192438706
204,23.899149006437078
205,23.936642007005656
206,23.960699150760213
207,24.213179947346664
208,24.234718414667427
209,24.487996383559654
210,24.51041358313574
211,24.800277803101434
212,25.122948082396626
213,25.151925243782426
214,25.592999722651957
215,25.796468114339557
216,25.83863506841598
217,26.18322469053708
218,26.398886906850347
219,26.43858538961254
220,26.472881283431043
221,26.62037438877132
222,26.739308737641505
223,27.05482442665181
224,27.105308215050016
225,27.156272028992955
226,27.438497690525175
227,27.468701582635024
228,27.48080445809364
229,27.971004757629434
230,28.362030184158716
231,28.658884533953643
232,28.737481517961186
233,28.80326766606496
234,28.82378253622716
235,29.149676147838463
236,29.38094839466836
237,29.44379464262846
238,29.67835423645308
239,29.758817311732663
240,29.8067709634842
241,29.812406610484214
242,30.062544652979692
243,30.18327507817434
244,30.413672516891438
245,30.52948992412276
246,30.547717116517273
247,30.636645160809227
248,30.678722784461453
249,30.978705483403633
250,31.165294085949597
251,31.319921167893124
252,31.36446878285805
253,31.46526466410119
254,31.538669922078114
255,31.567005236306276
256,31.588829036773184
257,31.703953940927207
258,31.99732447592049
259,32.477092453432256
260,32.87361936396596
261,33.849836939036564
262,36.078625290657314
263,38.011156317824195
264,38.47167369540062
265,38.504043675922745
266,38.81800536388235
267,39.00219746681523
268,39.18156150595902
269,39.218779156640956
270,39.23295958556977
271,39.23632056400991
272,39.48730073145041
273,39.89696037276114
274,39.94361765253476
275,39.990854775439075
276,40.14053654537163
277,40.18613099170987
278,40.22459710532492
279,40.52977313106869
280,40.53726350825818
281,40.74298523130009
282,40.92345900785663
283,41.16663722281504
284,41.251601900821996
285,41.639970782168255
286,41.924412126521844
287,42.29742539187476
288,42.39713554929377
289,42.39762160555485
290,42.45218486942137
291,42.81593573649647
292,43.256893542979206
293,43.3312685355508
294,43.38075748385748
295,43.58077984698005
296,43.85094179322539
297,43.94734112730969
298,43.9683762835402
299,44.12283579390881
300,44.258290152846854
301,44.67877787322883
302,44.95287505735978
303,45.098089353998425
304,45.17871265315023
305,45.3267028130454
306,45.83361519961591
307,46.02936746054718
308,46.40693570578259
309,46.499621309676066
310,47.02732256283602
311,47.0935555145255
312,47.105062857331205
313,47.70782655852409
314,47.864711448412756
315,48.15332117030001
316,48.6053896948208
317,48.65850701400569
318,49.18563253635087
319,49.21020439899455
320,49.4758645350259
321,49.53353767307766
322,49.54234669953328
323,49.708899356306304
324,49.781495564392394
325,50.00040416418533
326,50.2015026439045
327,50.27446341984519
328,50.75103366339311
329,51.02143987700799
330,51.08706249414375
331,51.21631035270271
332,51.314057055367925
333,51.48622128105432
334,51.49555455724534
335,51.501780776686296
336,51.56004847115656
337,52.09998253758886
338,52.21432356465536
339,52.568112681279054
340,52.909520502241264
341,53.84908872048179
342,53.87180849870758
343,53.899684347243465
344,54.17796175219504
345,54.35230996000468
346,54.754848793103584
347,54.83244823483309
348,54.98780782645781
349,54.996255131714115
350,55.16020845452259
351,55.25207628440095
352,55.35323449697722
353,55.38017994580205
354,55.420670556556644
355,55.501517830604456
356,56.153382979556184
357,56.31971007766465
358,56.655937180241246
359,56.65663032103566
360,57.07057388083301
361,57.36243687678735
362,57.423701136202126
363,57.74419940779124
364,57.982574697326626
365,58.12351918125517
366,59.0513793677445
367,59.419225691896045
368,59.567900797901885
369,59.78948343150393
370,59.82838377973417
371,60.89512065205048
372,61.22412384688014
373,61.394314287323795
374,61.653211533059796
375,62.0
376,62.0
377,62.0
378,62.0
379,62.0
380,62.0
381,62.35128800518931
382,63.48567271037257
383,64.1753522205742
384,64.49039462121607
385,65.02997787475546
386,65.12646502279794
387,65.90176585470537
388,66.07563386681919
389,66.8491844164695
390,66.91093133673003
391,67.42688932855063
392,67.45924583719157
393,68.73741165440302
394,69.19445988898163
395,70.29603519477389
396,70.68141129040843
397,71.03080121473498
398,71.33495382498471
399,71.45150368164279
400,71.90999033307597
401,71.92002252949905
402,71.92936398845954
403,71.93938431211467
404,71.96285560614142
405,72.79688547930648
406,72.97817787903689
407,73.13334402436988
408,73.51604974572886
409,73.96607152123791
410,74.00034987993418
411,74.25268063742863
412,74.32010195612854
413,74.4088063367761
414,74.53400615201858
415,74.88216024718643
416,75.0160583742967
417,75.05496445669823
418,75.79456383014963
419,77.57558204858537
420,78.31496050349104
421,79.26514732479664
422,79.47182706836094
423,80.5395247149642
424,80.63232756538946
425,81.48396472089365
426,81.58572000950349
427,81.79987977842869
428,82.02408728666094
429,82.22094765524864
430,82.99849159384118
431,83.06964404931018
432,83.29493561809154
433,84.0
434,84.0
435,84.0
436,84.0
437,84.0
438,84.0
439,84.0
440,84.0
441,84.0
442,84.0
443,84.0
444,84.0
445,84.0
446,84.00523254103315
447,84.026240873247
448,84.24787929298815
449,84.35559834300156
450,84.49425070143559
451,86.3215045274118
452,86.37149911787111
453,86.65235455132024
454,86.74538740198614
455,86.79688049333578
456,89.06010339631383
457,90.09926173111174
458,90.52169771458922
459,90.56228104504882
460,92.55413006498135
461,93.08358445377371
462,95.228560708142
463,97.07323122081124
464,98.06651994233044
465,98.59262734344998
466,103.05984134286253
467,103.48463131060839
468,103.86644969056834
469,104.18249321948065
470,104.85487514551043
471,104.99459907069519
472,106.0
473,106.0
474,106.0
475,106.0
476,106.0
477,106.0
478,106.0
479,106.0
480,106.0
481,106.0
482,106.0
483,106.0
484,106.0
485,106.0
486,106.0
487,106.0
488,107.12034849129394
489,111.85398416336149
490,112.55494210221528
491,120.45853010892776
492,121.66043991744957
493,124.39901018260761
494,128.0
495,128.0
496,128.0
497,128.0
498,128.0
499,128.0
